id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;status_kawin;jumlah_penduduk;satuan;tahun
55;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;CERAI HIDUP;13352;JIWA;2013
56;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;CERAI MATI;36648;JIWA;2013
57;32;JAWA BARAT;3215;KABUPATEN KARAWANG;BELUM KAWIN;649978;JIWA;2013
58;32;JAWA BARAT;3215;KABUPATEN KARAWANG;KAWIN;1141471;JIWA;2013
59;32;JAWA BARAT;3215;KABUPATEN KARAWANG;CERAI HIDUP;30262;JIWA;2013
60;32;JAWA BARAT;3215;KABUPATEN KARAWANG;CERAI MATI;67957;JIWA;2013
61;32;JAWA BARAT;3216;KABUPATEN BEKASI;BELUM KAWIN;1075700;JIWA;2013
62;32;JAWA BARAT;3216;KABUPATEN BEKASI;KAWIN;1329631;JIWA;2013
63;32;JAWA BARAT;3216;KABUPATEN BEKASI;CERAI HIDUP;22374;JIWA;2013
64;32;JAWA BARAT;3216;KABUPATEN BEKASI;CERAI MATI;53661;JIWA;2013
65;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;BELUM KAWIN;624203;JIWA;2013
66;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;KAWIN;855717;JIWA;2013
67;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;CERAI HIDUP;35409;JIWA;2013
68;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;CERAI MATI;29015;JIWA;2013
69;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;BELUM KAWIN;422116;JIWA;2013
70;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;KAWIN;511998;JIWA;2013
71;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;CERAI HIDUP;20656;JIWA;2013
72;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;CERAI MATI;23276;JIWA;2013
73;32;JAWA BARAT;3271;KOTA BOGOR;BELUM KAWIN;144541;JIWA;2013
74;32;JAWA BARAT;3271;KOTA BOGOR;KAWIN;153972;JIWA;2013
75;32;JAWA BARAT;3271;KOTA BOGOR;CERAI HIDUP;7077;JIWA;2013
76;32;JAWA BARAT;3271;KOTA BOGOR;CERAI MATI;13982;JIWA;2013
77;32;JAWA BARAT;3272;KOTA SUKABUMI;BELUM KAWIN;1093398;JIWA;2013
78;32;JAWA BARAT;3272;KOTA SUKABUMI;KAWIN;1133212;JIWA;2013
79;32;JAWA BARAT;3272;KOTA SUKABUMI;CERAI HIDUP;25191;JIWA;2013
80;32;JAWA BARAT;3272;KOTA SUKABUMI;CERAI MATI;80652;JIWA;2013
81;32;JAWA BARAT;3273;KOTA BANDUNG;BELUM KAWIN;146061;JIWA;2013
82;32;JAWA BARAT;3273;KOTA BANDUNG;KAWIN;149458;JIWA;2013
83;32;JAWA BARAT;3273;KOTA BANDUNG;CERAI HIDUP;5092;JIWA;2013
84;32;JAWA BARAT;3273;KOTA BANDUNG;CERAI MATI;15264;JIWA;2013
85;32;JAWA BARAT;3274;KOTA CIREBON;BELUM KAWIN;1180326;JIWA;2013
86;32;JAWA BARAT;3274;KOTA CIREBON;KAWIN;1135394;JIWA;2013
87;32;JAWA BARAT;3274;KOTA CIREBON;CERAI HIDUP;11844;JIWA;2013
88;32;JAWA BARAT;3274;KOTA CIREBON;CERAI MATI;43131;JIWA;2013
89;32;JAWA BARAT;3275;KOTA BEKASI;BELUM KAWIN;790179;JIWA;2013
90;32;JAWA BARAT;3275;KOTA BEKASI;KAWIN;778818;JIWA;2013
91;32;JAWA BARAT;3275;KOTA BEKASI;CERAI HIDUP;9799;JIWA;2013
92;32;JAWA BARAT;3275;KOTA BEKASI;CERAI MATI;51251;JIWA;2013
93;32;JAWA BARAT;3276;KOTA DEPOK;BELUM KAWIN;228942;JIWA;2013
94;32;JAWA BARAT;3276;KOTA DEPOK;KAWIN;257646;JIWA;2013
95;32;JAWA BARAT;3276;KOTA DEPOK;CERAI HIDUP;8151;JIWA;2013
96;32;JAWA BARAT;3276;KOTA DEPOK;CERAI MATI;17181;JIWA;2013
97;32;JAWA BARAT;3277;KOTA CIMAHI;BELUM KAWIN;305346;JIWA;2013
98;32;JAWA BARAT;3277;KOTA CIMAHI;KAWIN;333875;JIWA;2013
99;32;JAWA BARAT;3277;KOTA CIMAHI;CERAI HIDUP;11495;JIWA;2013
100;32;JAWA BARAT;3277;KOTA CIMAHI;CERAI MATI;26163;JIWA;2013
101;32;JAWA BARAT;3278;KOTA TASIKMALAYA;BELUM KAWIN;75295;JIWA;2013
102;32;JAWA BARAT;3278;KOTA TASIKMALAYA;KAWIN;97947;JIWA;2013
103;32;JAWA BARAT;3278;KOTA TASIKMALAYA;CERAI HIDUP;4186;JIWA;2013
104;32;JAWA BARAT;3278;KOTA TASIKMALAYA;CERAI MATI;9755;JIWA;2013
105;32;JAWA BARAT;3201;KABUPATEN BOGOR;BELUM KAWIN;1879836;JIWA;2014
106;32;JAWA BARAT;3201;KABUPATEN BOGOR;KAWIN;1819944;JIWA;2014
107;32;JAWA BARAT;3201;KABUPATEN BOGOR;CERAI HIDUP;43765;JIWA;2014
108;32;JAWA BARAT;3201;KABUPATEN BOGOR;CERAI MATI;84164;JIWA;2014
109;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;BELUM KAWIN;1121715;JIWA;2014
110;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;KAWIN;1194295;JIWA;2014
111;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;CERAI HIDUP;50013;JIWA;2014
112;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;CERAI MATI;72366;JIWA;2014
113;32;JAWA BARAT;3203;KABUPATEN CIANJUR;BELUM KAWIN;987213;JIWA;2014
114;32;JAWA BARAT;3203;KABUPATEN CIANJUR;KAWIN;1119749;JIWA;2014
115;32;JAWA BARAT;3203;KABUPATEN CIANJUR;CERAI HIDUP;46250;JIWA;2014
116;32;JAWA BARAT;3203;KABUPATEN CIANJUR;CERAI MATI;62622;JIWA;2014
117;32;JAWA BARAT;3204;KABUPATEN BANDUNG;BELUM KAWIN;1652392;JIWA;2014
118;32;JAWA BARAT;3204;KABUPATEN BANDUNG;KAWIN;1709450;JIWA;2014
119;32;JAWA BARAT;3204;KABUPATEN BANDUNG;CERAI HIDUP;54765;JIWA;2014
120;32;JAWA BARAT;3204;KABUPATEN BANDUNG;CERAI MATI;75749;JIWA;2014
121;32;JAWA BARAT;3205;KABUPATEN GARUT;BELUM KAWIN;1059753;JIWA;2014
122;32;JAWA BARAT;3205;KABUPATEN GARUT;KAWIN;1042094;JIWA;2014
123;32;JAWA BARAT;3205;KABUPATEN GARUT;CERAI HIDUP;25562;JIWA;2014
124;32;JAWA BARAT;3205;KABUPATEN GARUT;CERAI MATI;57983;JIWA;2014
125;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;BELUM KAWIN;716187;JIWA;2014
126;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;KAWIN;844879;JIWA;2014
127;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;CERAI HIDUP;35086;JIWA;2014
128;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;CERAI MATI;45635;JIWA;2014
129;32;JAWA BARAT;3207;KABUPATEN CIAMIS;BELUM KAWIN;497888;JIWA;2014
130;32;JAWA BARAT;3207;KABUPATEN CIAMIS;KAWIN;632551;JIWA;2014
131;32;JAWA BARAT;3207;KABUPATEN CIAMIS;CERAI HIDUP;16712;JIWA;2014
132;32;JAWA BARAT;3207;KABUPATEN CIAMIS;CERAI MATI;56049;JIWA;2014
133;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;BELUM KAWIN;493573;JIWA;2014
134;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;KAWIN;560610;JIWA;2014
135;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;CERAI HIDUP;13295;JIWA;2014
136;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;CERAI MATI;45494;JIWA;2014
