id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_gizi_buruk,jumlah_balita,satuan,tahun
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA GIZI KURANG,2648.0,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA PENDEK,,ORANG,2020
123,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BALITA KURUS,,ORANG,2020
124,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA GIZI KURANG,4647.0,ORANG,2020
125,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA PENDEK,,ORANG,2020
126,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BALITA KURUS,,ORANG,2020
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA GIZI KURANG,6723.0,ORANG,2020
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA PENDEK,,ORANG,2020
129,32,JAWA BARAT,3216,KABUPATEN BEKASI,BALITA KURUS,,ORANG,2020
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA GIZI KURANG,6130.0,ORANG,2020
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA PENDEK,,ORANG,2020
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BALITA KURUS,,ORANG,2020
133,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA GIZI KURANG,161.0,ORANG,2020
134,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA PENDEK,,ORANG,2020
135,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BALITA KURUS,,ORANG,2020
136,32,JAWA BARAT,3271,KOTA BOGOR,BALITA GIZI KURANG,2915.0,ORANG,2020
137,32,JAWA BARAT,3271,KOTA BOGOR,BALITA PENDEK,,ORANG,2020
138,32,JAWA BARAT,3271,KOTA BOGOR,BALITA KURUS,,ORANG,2020
139,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA GIZI KURANG,1333.0,ORANG,2020
140,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA PENDEK,,ORANG,2020
141,32,JAWA BARAT,3272,KOTA SUKABUMI,BALITA KURUS,,ORANG,2020
142,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA GIZI KURANG,7910.0,ORANG,2020
143,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA PENDEK,,ORANG,2020
144,32,JAWA BARAT,3273,KOTA BANDUNG,BALITA KURUS,,ORANG,2020
145,32,JAWA BARAT,3274,KOTA CIREBON,BALITA GIZI KURANG,2149.0,ORANG,2020
146,32,JAWA BARAT,3274,KOTA CIREBON,BALITA PENDEK,,ORANG,2020
147,32,JAWA BARAT,3274,KOTA CIREBON,BALITA KURUS,,ORANG,2020
148,32,JAWA BARAT,3275,KOTA BEKASI,BALITA GIZI KURANG,8228.0,ORANG,2020
149,32,JAWA BARAT,3275,KOTA BEKASI,BALITA PENDEK,,ORANG,2020
150,32,JAWA BARAT,3275,KOTA BEKASI,BALITA KURUS,,ORANG,2020
151,32,JAWA BARAT,3276,KOTA DEPOK,BALITA GIZI KURANG,5948.0,ORANG,2020
152,32,JAWA BARAT,3276,KOTA DEPOK,BALITA PENDEK,,ORANG,2020
